budget,origin_country,original_language,original_title,popularity,release_date,revenue,runtime,title,vote_average,vote_count,year,month,dow,genre_count,log_budget,log_revenue,roi,production_company,original_name,production_country
150000000.0,['GB'],en,Harry Potter and the Goblet of Fire,21.5325,2005-11-16,895921036.0,157,Harry Potter and the Goblet of Fire,7.801,21778,2005,11,2,2,18.826145858727198,20.61336283870746,5.9728069066666665,Warner Bros. Pictures,Daniel Radcliffe,United Kingdom
180000000.0,"['US', 'GB']",en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",19.2598,2005-12-07,745013115.0,143,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7.137,11273,2005,12,2,3,19.00846741441004,20.42891238155799,4.13896175,Walt Disney Pictures,William Moseley,United Kingdom
75000000.0,['US'],en,Madagascar,14.6773,2005-05-25,542064525.0,86,Madagascar,6.919,11474,2005,5,2,4,18.132998684833918,20.11089560397835,7.227527,Pacific Data Images,Ben Stiller,United States of America
130000000.0,"['US', 'GB']",en,Kingdom of Heaven,13.3602,2005-05-03,218366336.0,144,Kingdom of Heaven,7.013,4754,2005,5,1,5,18.683045016112164,19.20168465533968,1.6797410461538462,Scott Free Productions,Orlando Bloom,Germany
207000000.0,['US'],en,King Kong,16.8179,2005-12-12,562363449.0,188,King Kong,6.887,8323,2005,12,0,3,19.14822935606056,20.147658907017394,2.716731637681159,Universal Pictures,Naomi Watts,New Zealand
150000000.0,['US'],en,Batman Begins,14.3562,2005-06-10,374218673.0,140,Batman Begins,7.721,22170,2005,6,4,3,18.826145858727198,19.740350874353872,2.4947911533333333,Warner Bros. Pictures,Christian Bale,United Kingdom
150000000.0,['US'],en,Charlie and the Chocolate Factory,13.3001,2005-07-13,475000000.0,115,Charlie and the Chocolate Factory,7.038,15871,2005,7,2,4,18.826145858727198,19.97882536410418,3.1666666666666665,Warner Bros. Pictures,Johnny Depp,United Kingdom
40000000.0,['US'],en,Corpse Bride,11.9903,2005-09-12,118133252.0,77,Corpse Bride,7.6,9985,2005,9,0,3,17.50439003707821,18.587323808004285,2.9533313,Tim Burton Productions,Johnny Depp,United Kingdom
113000000.0,['US'],en,Star Wars: Episode III - Revenge of the Sith,11.1598,2005-05-17,850000000.0,140,Star Wars: Episode III - Revenge of the Sith,7.457,14612,2005,5,1,3,18.542898385526172,20.560746908625106,7.522123893805309,Lucasfilm Ltd.,Hayden Christensen,United States of America
28000000.0,['GB'],en,Pride & Prejudice,11.4756,2005-09-16,124604345.0,127,Pride & Prejudice,8.053,8578,2005,9,4,2,17.147715103853763,18.640654043324115,4.450155178571428,StudioCanal,Keira Knightley,France
6000000.0,['TH'],th,ต้มยำกุ้ง,10.6421,2005-08-11,27165581.0,105,The Protector,7.121,904,2005,8,3,4,15.607270193858982,17.117461362365535,4.527596833333333,Sahamongkolfilm,Tony Jaa,Thailand
132000000.0,['US'],en,War of the Worlds,10.6891,2005-06-28,603873119.0,117,War of the Worlds,6.528,8931,2005,6,1,3,18.6983124881264,20.218874667606922,4.574796356060606,Paramount Pictures,Tom Cruise,United States of America
88000000.0,"['GB', 'US']",en,The Brothers Grimm,9.1656,2005-08-26,105300000.0,118,The Brothers Grimm,5.845,2884,2005,8,4,5,18.292847383806116,18.47232398660088,1.196590909090909,Summit Entertainment,Matt Damon,United Kingdom
75000000.0,['US'],en,Robots,8.5252,2005-03-10,262511490.0,90,Robots,6.478,4822,2005,3,3,4,18.132998684833918,19.38580541427594,3.5001532,Blue Sky Studios,Ewan McGregor,United States of America
35000000.0,['US'],en,Sky High,9.3256,2005-07-29,86369815.0,99,Sky High,6.252,2408,2005,7,4,3,17.370858648025116,18.274148820884857,2.467709,Max Stronghold Productions Inc.,Michael Angarano,United States of America
100000000.0,['US'],en,Constantine,9.7772,2005-02-08,230900000.0,121,Constantine,7.118,7800,2005,2,1,3,18.420680753952364,19.257495278655604,2.309,Village Roadshow Pictures,Keanu Reeves,Germany
110000000.0,['US'],en,Mr. & Mrs. Smith,9.2369,2005-06-07,487287646.0,120,Mr. & Mrs. Smith,6.689,10994,2005,6,1,4,18.5159909328476,20.00436515760529,4.429887690909091,Regency Enterprises,Brad Pitt,Switzerland
50000000.0,['US'],en,The Dukes of Hazzard,8.4197,2005-08-05,110803676.0,104,The Dukes of Hazzard,5.603,1266,2005,8,4,3,17.72753358339242,18.523270517647394,2.21607352,WV Films III,Johnny Knoxville,United States of America
14000000.0,['US'],en,Brokeback Mountain,8.105,2005-10-22,178043761.0,134,Brokeback Mountain,7.784,7396,2005,10,5,2,16.454567959008102,18.99753993197182,12.7174115,Focus Features,Heath Ledger,Canada
43000000.0,['US'],en,The Skeleton Key,7.1584,2005-07-29,93983911.0,104,The Skeleton Key,6.622,2220,2005,7,4,4,17.57671069691365,18.358634176650458,2.185672348837209,Universal Pictures,Kate Hudson,Germany
150000000.0,['US'],en,Chicken Little,8.033,2005-11-04,314400000.0,81,Chicken Little,5.908,4082,2005,11,4,3,18.826145858727198,19.566176621699988,2.096,Walt Disney Pictures,Zach Braff,United States of America
100000000.0,['US'],en,Fantastic Four,8.2232,2005-06-29,333535934.0,106,Fantastic Four,5.802,9816,2005,6,2,3,18.420680753952364,19.625261168639653,3.33535934,Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 3 KG,Ioan Gruffudd,Germany
25000000.0,"['US', 'NZ', 'CH']",en,The World's Fastest Indian,6.7353,2005-10-12,18300000.0,127,The World's Fastest Indian,7.675,845,2005,10,2,3,17.034386422832473,16.722411672456456,0.732,New Zealand Film Commission,Anthony Hopkins,New Zealand
88000000.0,['US'],en,Cinderella Man,5.9356,2005-06-02,108539911.0,144,Cinderella Man,7.565,2338,2005,6,3,3,18.292847383806116,18.502628515838193,1.2334080795454545,Universal Pictures,Russell Crowe,United States of America
26000000.0,['US'],en,The 40 Year Old Virgin,7.1798,2005-08-11,177400000.0,116,The 40 Year Old Virgin,6.415,7063,2005,8,3,2,17.073607134447293,18.99391763347673,6.823076923076923,Universal Pictures,Steve Carell,United States of America
90000000.0,['US'],en,The Longest Yard,6.3127,2005-05-27,191466556.0,113,The Longest Yard,6.666,3585,2005,5,4,3,18.31532023940565,19.07022371425843,2.127406177777778,Callahan Filmworks,Adam Sandler,United States of America
8000000.0,['KR'],ko,웰컴 투 동막골,6.1022,2005-08-04,33579813.0,133,Welcome to Dongmakgol,7.446,194,2005,8,3,3,15.894952224644102,17.329435670587014,4.197476625,Film It Suda,정재영,South Korea
2000000.0,['PS'],en,Paradise Now,6.3672,2005-09-07,3395627.0,90,Paradise Now,6.879,276,2005,9,2,4,14.508658238524095,15.037999279777319,1.6978135,Lama Films,Qais Nashif,France
12000000.0,['IE'],en,Tara Road,4.5351,2005-05-11,875898.0,101,Tara Road,5.316,38,2005,5,2,1,16.300417291085605,13.683006066467689,0.0729915,Ferndale Films,Andie MacDowell,Ireland
27000000.0,"['FR', 'GB']",en,Revolver,6.6343,2005-09-11,7164778.0,115,Revolver,6.345,1481,2005,9,6,4,17.11134746100564,15.784687774386297,0.2653621481481481,Revolver Pictures Co.,Jason Statham,France
2721088.0,['IN'],hi,वाह! लाइफ हो तोह ऐसी!,6.0636,2005-12-23,4308390.0,132,Vaah! Life Ho Toh Aisi!,5.319,36,2005,12,4,4,14.816542725793498,15.27607507451404,1.5833335783333726,Tips Industries,Shahid Kapoor,India
